image,psnr,ssim
01_hazy.png,15.000290835033967,0.41845154762268066
02_hazy.png,17.14271870547561,0.41264644265174866
03_hazy.png,13.391661383816533,0.26783302426338196
04_hazy.png,13.86734950537462,0.293802410364151
05_hazy.png,13.345424984836757,0.45052370429039
06_hazy.png,13.081203850905222,0.4256563186645508
07_hazy.png,16.339868055108756,0.42250385880470276
08_hazy.png,11.190034205232154,0.22057472169399261
09_hazy.png,15.13537413148441,0.39145493507385254
10_hazy.png,10.31298149615334,0.3255186676979065
11_hazy.png,11.41000996972284,0.26909974217414856
12_hazy.png,14.770195724546742,0.416803240776062
13_hazy.png,13.766350218862424,0.3975940942764282
14_hazy.png,13.832175588280398,0.3963986933231354
15_hazy.png,10.657499097234984,0.41469231247901917
16_hazy.png,13.392900729288078,0.2663191556930542
17_hazy.png,10.110616748427223,0.21505844593048096
18_hazy.png,14.418380469867726,0.38609299063682556
19_hazy.png,12.66512269470752,0.33570191264152527
20_hazy.png,14.2950933325823,0.39185699820518494
21_hazy.png,11.577487827865161,0.3153633773326874
22_hazy.png,18.142446125941806,0.37660327553749084
23_hazy.png,12.028957578276207,0.19732196629047394
24_hazy.png,14.910549914941289,0.3365805149078369
25_hazy.png,13.241113428552021,0.34244832396507263
26_hazy.png,13.622311271439646,0.355961412191391
27_hazy.png,13.366180794799433,0.30601632595062256
28_hazy.png,8.597854851591016,0.4240243434906006
29_hazy.png,11.090594922418976,0.3555220365524292
30_hazy.png,12.75872108934075,0.37443289160728455
31_hazy.png,12.622567563988769,0.4180239737033844
32_hazy.png,12.406708447830727,0.5821284055709839
33_hazy.png,10.972767190104694,0.42656174302101135
34_hazy.png,9.99754080676033,0.4655665457248688
35_hazy.png,11.561698477526278,0.48725929856300354
36_hazy.png,9.835983741924888,0.508335530757904
37_hazy.png,11.177931361703443,0.4876406192779541
38_hazy.png,12.17852415131335,0.46779370307922363
39_hazy.png,9.421920594068357,0.4014498293399811
40_hazy.png,11.293091525543833,0.4647332727909088
41_hazy.png,15.091282636571444,0.5695481300354004
42_hazy.png,10.18759568099899,0.3477143347263336
43_hazy.png,11.843221263441265,0.37116357684135437
44_hazy.png,8.70385715227654,0.5005562901496887
45_hazy.png,16.231446657311626,0.4871710240840912
46_hazy.png,9.858471049871591,0.1651396006345749
47_hazy.png,15.073300765543166,0.4936239421367645
48_hazy.png,14.326808493833571,0.4006080627441406
49_hazy.png,10.2990461748572,0.292558491230011
50_hazy.png,10.671482643793532,0.37115541100502014
51_hazy.png,13.80461536582285,0.27985477447509766
52_hazy.png,9.600203690426005,0.20638728141784668
53_hazy.png,12.76326738450866,0.48028096556663513
54_hazy.png,7.671302546627947,0.38461652398109436
55_hazy.png,15.293565146410783,0.5997815728187561
